Name,Party,State,District,Start,Twitter
257,Gabriel Vasquez,Democratic Party,New Mexico,2,2023-01-03,gabe_nm
258,Teresa Leger Fernandez,Democratic Party,New Mexico,3,2021-01-03,RepTeresaLF
259,Nicholas J. LaLota,Republican Party,New York,1,2023-01-03,nicklalota
260,Andrew Garbarino,Republican Party,New York,2,2021-01-03,RepGarbarino
261,George Devolder-Santos,Republican Party,New York,3,2023-01-03,RepSantosNY03
262,Anthony D'Esposito,Republican Party,New York,4,2023-01-03,RepDesposito
263,Gregory W. Meeks,Democratic Party,New York,5,2013-01-03,repgregorymeeks
264,Grace Meng,Democratic Party,New York,6,2013-01-03,RepGraceMeng
265,Nydia Velazquez,Democratic Party,New York,7,2013-01-03,NydiaVelazquez
266,Hakeem Jeffries,Democratic Party,New York,8,2013-01-03,RepJeffries
267,Yvette D. Clarke,Democratic Party,New York,9,2013-01-03,RepYvetteClarke
268,Daniel Goldman,Democratic Party,New York,10,2023-01-03,RepDanGoldman
269,Nicole Malliotakis,Republican Party,New York,11,2021-01-03,RepMalliotakis
270,Jerrold Nadler,Democratic Party,New York,12,2023-01-03,RepJerryNadler
271,Adriano Espaillat,Democratic Party,New York,13,2017-01-03,RepEspaillat
272,Alexandria Ocasio-Cortez,Democratic Party,New York,14,2019-01-03,RepAOC
273,Ritchie Torres,Democratic Party,New York,15,2021-01-03,RepRitchie
274,Jamaal Bowman,Democratic Party,New York,16,2021-01-03,RepBowman
275,Michael Lawler,Republican Party,New York,17,2023-01-03,lawler4ny
276,Pat Ryan,Democratic Party,New York,18,2023-01-03,RepPatRyanNY
277,Marcus Molinaro,Republican Party,New York,19,2023-01-03,RepMolinaroNY19
278,Paul Tonko,Democratic Party,New York,20,2013-01-03,reppaultonko
279,Elise Stefanik,Republican Party,New York,21,2015-01-03,RepStefanik
280,Brandon Williams,Republican Party,New York,22,2023-01-03,RepWilliams
281,Nicholas A. Langworthy,Republican Party,New York,23,2023-01-03,RepLangworthy
282,Claudia Tenney,Republican Party,New York,24,2023-01-03,RepTenney
283,Joseph Morelle,Democratic Party,New York,25,2018-11-13,repjoemorelle
284,Brian Higgins,Democratic Party,New York,26,2013-01-03,repbrianhiggins
285,Eleanor Holmes Norton,Democratic Party,District of Columbia,1,1991-01-03,EleanorNorton
286,Donald Davis,Democratic Party,North Carolina,1,2023-01-03,DonDavisNC
287,Deborah Ross,Democratic Party,North Carolina,2,2021-01-03,RepDeborahRoss
288,Gregory Murphy,Republican Party,North Carolina,3,2019-09-17,RepGregMurphy
289,Valerie Foushee,Democratic Party,North Carolina,4,2023-01-03,ValerieFoushee
290,Virginia Foxx,Republican Party,North Carolina,5,2005-01-03,virginiafoxx
291,Kathy Manning,Democratic Party,North Carolina,6,2021-01-03,RepKManning
292,David Rouzer,Republican Party,North Carolina,7,2015-01-03,RepDavidRouzer
293,Dan Bishop,Republican Party,North Carolina,8,2023-01-03,RepDanBishop
294,Richard Hudson,Republican Party,North Carolina,9,2023-01-03,RepRichHudson
295,Patrick T. McHenry,Republican Party,North Carolina,10,2005-01-03,PatrickMcHenry
296,Chuck Edwards,Republican Party,North Carolina,11,2023-01-03,RepEdwards
297,Alma Adams,Democratic Party,North Carolina,12,2014-11-12,RepAdams
298,Wiley Nickel,Democratic Party,North Carolina,13,2023-01-03,RepWileyNickel
299,Jeff Jackson,Democratic Party,North Carolina,14,2023-01-03,RepJeffJackson
300,Kelly Armstrong,Republican Party,North Dakota,1,2019-01-03,RepArmstrongND
301,Gregorio Kilili Camacho Sablan,Democratic Party,Northern Mariana Islands,1,2009-01-03,Kilili_Sablan
302,Greg Landsman,Democratic Party,Ohio,1,2023-01-03,RepGregLandsman
303,Brad Wenstrup,Republican Party,Ohio,2,2013-01-03,RepBradWenstrup
304,Joyce Beatty,Democratic Party,Ohio,3,2013-01-03,RepBeatty
