Name,Party,State,District,Start,Twitter
Eric Burlison,Republican Party,Missouri,7,2023-01-03,EricBurlison
Jason Smith,Republican Party,Missouri,8,2013-06-05,RepJasonSmith
Ryan Zinke,Republican Party,Montana,1,2023-01-03,RepRyanZinke
Matt Rosendale,Republican Party,Montana,2,2023-01-03,RepRosendale
Mike Flood,Republican Party,Nebraska,1,2022-07-12,USRepMikeFlood
Don Bacon,Republican Party,Nebraska,2,2017-01-03,repdonbacon
Adrian Smith,Republican Party,Nebraska,3,2007-01-03,RepAdrianSmith
Dina Titus,Democratic Party,Nevada,1,2013-01-03,repdinatitus
Mark Amodei,Republican Party,Nevada,2,2011-09-13,markamodeinv2
Susie Lee,Democratic Party,Nevada,3,2019-01-03,RepSusieLee
Steven Horsford,Democratic Party,Nevada,4,2019-01-03,RepHorsford
Chris Pappas,Democratic Party,New Hampshire,1,2019-01-03,RepChrisPappas
Annie Kuster,Democratic Party,New Hampshire,2,2013-01-03,RepAnnieKuster
Donald Norcross,Democratic Party,New Jersey,1,2014-11-12,DonaldNorcross
Jeff Van Drew,Republican Party,New Jersey,2,2019-01-03,Congressman_JVD
Andrew Kim,Democratic Party,New Jersey,3,2019-01-03,RepAndyKimNJ
Chris Smith,Republican Party,New Jersey,4,1981-01-03,
Josh Gottheimer,Democratic Party,New Jersey,5,2017-01-03,RepJoshG
Frank Pallone Jr.,Democratic Party,New Jersey,6,1993-01-03,FrankPallone
Thomas Kean Jr.,Republican Party,New Jersey,7,2023-01-03,CongressmanKean
Robert Menendez Jr.,Democratic Party,New Jersey,8,2023-01-03,robmenendez4nj
Bill Pascrell,Democratic Party,New Jersey,9,2013-01-03,BillPascrell
Donald Payne Jr.,Democratic Party,New Jersey,10,2013-01-03,RepDonaldPayne
Mikie Sherrill,Democratic Party,New Jersey,11,2019-01-03,RepSherrill
Bonnie Watson Coleman,Democratic Party,New Jersey,12,2015-01-03,RepBonnie
Melanie Ann Stansbury,Democratic Party,New Mexico,1,2021-06-14,Rep_Stansbury
Gabriel Vasquez,Democratic Party,New Mexico,2,2023-01-03,gabe_nm
Teresa Leger Fernandez,Democratic Party,New Mexico,3,2021-01-03,RepTeresaLF
Nicholas J. LaLota,Republican Party,New York,1,2023-01-03,nicklalota
Andrew Garbarino,Republican Party,New York,2,2021-01-03,RepGarbarino
George Devolder-Santos,Republican Party,New York,3,2023-01-03,RepSantosNY03
Anthony D'Esposito,Republican Party,New York,4,2023-01-03,RepDesposito
Gregory W. Meeks,Democratic Party,New York,5,2013-01-03,repgregorymeeks
Grace Meng,Democratic Party,New York,6,2013-01-03,RepGraceMeng
Nydia Velazquez,Democratic Party,New York,7,2013-01-03,NydiaVelazquez
Hakeem Jeffries,Democratic Party,New York,8,2013-01-03,RepJeffries
Yvette D. Clarke,Democratic Party,New York,9,2013-01-03,RepYvetteClarke
Daniel Goldman,Democratic Party,New York,10,2023-01-03,RepDanGoldman
Nicole Malliotakis,Republican Party,New York,11,2021-01-03,RepMalliotakis
Jerrold Nadler,Democratic Party,New York,12,2023-01-03,RepJerryNadler
Adriano Espaillat,Democratic Party,New York,13,2017-01-03,RepEspaillat
Alexandria Ocasio-Cortez,Democratic Party,New York,14,2019-01-03,RepAOC
Ritchie Torres,Democratic Party,New York,15,2021-01-03,RepRitchie
Jamaal Bowman,Democratic Party,New York,16,2021-01-03,RepBowman
Michael Lawler,Republican Party,New York,17,2023-01-03,lawler4ny
Pat Ryan,Democratic Party,New York,18,2023-01-03,RepPatRyanNY
Marcus Molinaro,Republican Party,New York,19,2023-01-03,RepMolinaroNY19
Paul Tonko,Democratic Party,New York,20,2013-01-03,reppaultonko
Elise Stefanik,Republican Party,New York,21,2015-01-03,RepStefanik
Brandon Williams,Republican Party,New York,22,2023-01-03,RepWilliams
Nicholas A. Langworthy,Republican Party,New York,23,2023-01-03,RepLangworthy
Claudia Tenney,Republican Party,New York,24,2023-01-03,RepTenney
Joseph Morelle,Democratic Party,New York,25,2018-11-13,repjoemorelle
Brian Higgins,Democratic Party,New York,26,2013-01-03,repbrianhiggins
Eleanor Holmes Norton,Democratic Party,District of Columbia,1,1991-01-03,EleanorNorton
Donald Davis,Democratic Party,North Carolina,1,2023-01-03,DonDavisNC
Deborah Ross,Democratic Party,North Carolina,2,2021-01-03,RepDeborahRoss
Gregory Murphy,Republican Party,North Carolina,3,2019-09-17,RepGregMurphy
Valerie Foushee,Democratic Party,North Carolina,4,2023-01-03,ValerieFoushee
Virginia Foxx,Republican Party,North Carolina,5,2005-01-03,virginiafoxx
Kathy Manning,Democratic Party,North Carolina,6,2021-01-03,RepKManning
David Rouzer,Republican Party,North Carolina,7,2015-01-03,RepDavidRouzer
Dan Bishop,Republican Party,North Carolina,8,2023-01-03,RepDanBishop
Richard Hudson,Republican Party,North Carolina,9,2023-01-03,RepRichHudson
Patrick T. McHenry,Republican Party,North Carolina,10,2005-01-03,PatrickMcHenry
Chuck Edwards,Republican Party,North Carolina,11,2023-01-03,RepEdwards
Alma Adams,Democratic Party,North Carolina,12,2014-11-12,RepAdams
Wiley Nickel,Democratic Party,North Carolina,13,2023-01-03,RepWileyNickel
Jeff Jackson,Democratic Party,North Carolina,14,2023-01-03,RepJeffJackson
Kelly Armstrong,Republican Party,North Dakota,1,2019-01-03,RepArmstrongND
Gregorio Kilili Camacho Sablan,Democratic Party,Northern Mariana Islands,1,2009-01-03,Kilili_Sablan
Greg Landsman,Democratic Party,Ohio,1,2023-01-03,RepGregLandsman
Brad Wenstrup,Republican Party,Ohio,2,2013-01-03,RepBradWenstrup
Joyce Beatty,Democratic Party,Ohio,3,2013-01-03,RepBeatty
Jim Jordan,Republican Party,Ohio,4,2007-01-03,Jim_Jordan
Bob Latta,Republican Party,Ohio,5,2007-01-03,boblatta
Bill Johnson,Republican Party,Ohio,6,2011-01-03,RepBillJohnson
Max Miller,Republican Party,Ohio,7,2023-01-03,RepMaxMiller
Warren Davidson,Republican Party,Ohio,8,2016-06-09,warrendavidson
Marcy Kaptur,Democratic Party,Ohio,9,1983-01-03,RepMarcyKaptur
Michael Turner,Republican Party,Ohio,10,2013-01-03,RepMikeTurner
Shontel Brown,Democratic Party,Ohio,11,2021-11-04,RepShontelBrown
Troy Balderson,Republican Party,Ohio,12,2018-09-05,RepBalderson
Emilia Sykes,Democratic Party,Ohio,13,2023-01-03,RepEmiliaSykes
David Joyce,Republican Party,Ohio,14,2013-01-03,RepDaveJoyce
Mike Carey,Republican Party,Ohio,15,2021-11-04,RepMikeCarey
Kevin Hern,Republican Party,Oklahoma,1,2018-11-13,repkevinhern
Josh Brecheen,Republican Party,Oklahoma,2,2023-01-03,RepBrecheen
Frank Lucas,Republican Party,Oklahoma,3,2003-01-03,RepFrankLucas
Tom Cole,Republican Party,Oklahoma,4,2003-01-03,TomColeOK04
Stephanie Bice,Republican Party,Oklahoma,5,2021-01-03,RepBice
Suzanne Bonamici,Democratic Party,Oregon,1,2012-02-07,RepBonamici
Cliff Bentz,Republican Party,Oregon,2,2021-01-03,RepBentz
Earl Blumenauer,Democratic Party,Oregon,3,1996-05-21,repblumenauer
Val Hoyle,Democratic Party,Oregon,4,2023-01-03,repvalhoyle
